id,src,dst
990,15,31
991,15,991
992,15,1248
993,15,21
994,15,994
995,15,312
996,15,1086
997,15,12
998,15,12
999,15,41
1000,15,41
1001,15,41
1002,15,242
1003,15,39
1004,15,18
1005,15,18
1006,15,18
1007,15,19
1008,15,19
1009,15,98
1010,15,98
1011,15,311
1012,15,311
1013,15,84
1014,15,84
1015,15,729
1016,15,75
1017,15,75
1018,15,149
1019,15,49
1020,15,67
1021,15,10
1022,15,10
1023,15,10
1024,15,25
1025,15,25
1026,15,544
1027,15,8
1028,15,5
1029,15,17
1030,15,17
1031,15,343
1032,15,625
1033,15,391
1034,15,71
1035,15,7
1036,15,1371
1037,15,147
1038,15,43
1039,15,43
1040,15,43
1041,15,51
1042,15,1226
1043,15,40
1044,15,103
1045,15,110
1046,15,139
1047,15,328
1048,15,1004
1049,15,754
1050,15,333
1051,15,101
1052,15,44
1053,15,44
1054,15,99
1055,15,83
1056,15,250
1057,15,74
1058,15,60
1059,15,60
1060,15,162
1061,15,24
1062,15,24
1063,15,322
1064,15,102
1065,15,108
1066,15,50
1067,15,16
1068,15,23
1069,15,23
1070,15,79
1071,15,310
1072,15,95
1073,15,121
1074,15,711
1075,15,111
1076,15,765
1077,15,348
1078,15,247
1079,15,685
1080,15,986
1081,15,341
1082,15,13
1083,15,326
1084,15,48
1085,15,364
1086,15,732
1087,15,93
1088,15,35
1089,15,1032
9766,15,96
1090,16,24
1091,16,24
1092,16,24
1093,16,24
1094,16,18
1095,16,18
1096,16,18
1097,16,18
1098,16,27
1099,16,69
1100,16,76
1101,16,76
1102,16,11
1103,16,11
1104,16,11
1105,16,652
1106,16,17
1107,16,17
1108,16,17
1109,16,80
1110,16,1369
1111,16,58
1112,16,10
1113,16,10
1114,16,10
1115,16,739
1116,16,44
1117,16,54
1118,16,109
1119,16,29
1120,16,29
1121,16,383
1122,16,196
1123,16,373
1124,16,20
1125,16,20
1126,16,20
1127,16,749
1128,16,50
1129,16,101
1130,16,100
1131,16,88
1132,16,25
1133,16,25
1134,16,19
1135,16,19
1136,16,309
1137,16,167
1138,16,167
1139,16,437
1140,16,91
1141,16,91
1142,16,91
1143,16,1176
1144,16,66
1145,16,30
1146,16,30
1147,16,30
1148,16,51
1149,16,78
1150,16,26
1151,16,26
1152,16,63
1153,16,63
1154,16,63
1155,16,121
1156,16,129
1157,16,42
1158,16,12
1159,16,119
1160,16,119
1161,16,36
1162,16,36
1163,16,182
1164,16,139
1165,16,64
1166,16,60
1167,16,124
1168,16,9
1169,16,9
1170,16,9
1171,16,9
1172,16,15
1173,16,15
1174,16,15
1175,16,156
1176,16,1
1177,16,740
1178,16,284
1179,16,39
1180,16,234
1181,16,365
1182,16,250
1183,16,105
1184,16,65
1185,16,65
1186,16,59
1187,16,319
1188,16,21
1189,16,21
1190,16,84
1191,16,33
1192,16,95
1193,16,43
1194,16,175
1195,16,976
1196,16,8
1197,16,7
1198,16,23
1199,16,1030
1200,16,28
1201,16,28
1202,16,349
1203,16,73
1204,16,1028
1205,16,34
1206,16,150
1207,16,45
1208,16,1025
1209,16,86
1210,16,148
1211,16,446
1212,16,110
1213,16,35
1214,16,114
1215,16,981
1216,16,41
1217,16,41
1218,16,303
1219,16,112
1220,16,97
1221,16,193
1222,16,32
1223,16,530
1224,16,223
1225,16,98
1226,16,491
1227,16,350
1228,16,53
1229,17,24
1230,17,40
1231,17,40
1232,17,40
1233,17,292
1234,17,357
1235,17,12
1236,17,12
1237,17,117
1238,17,22
1239,17,22
1240,17,931
1241,17,124
1242,17,72
1243,17,72
1244,17,109
1245,17,109
1246,17,109
1247,17,920
1248,17,174
1249,17,15
1250,17,15
1251,17,15
1252,17,15
1253,17,15
1254,17,151
1255,17,5
1256,17,5
1257,17,5
1258,17,715
1259,17,34
1260,17,34
1261,17,26
1262,17,1028
1263,17,101
1264,17,56
1265,17,55
1266,17,55
1267,17,53
1268,17,3
1269,17,289
1270,17,239
1271,17,1345
1272,17,33
1273,17,33
1274,17,33
1275,17,30
1276,17,30
1277,17,30
1278,17,30
1279,17,252
1280,17,1260
1281,17,328
1282,17,341
1283,17,126
1284,17,225
1285,17,1091
1286,17,1174
1287,17,37
1288,17,62
1289,17,62
1290,17,11
1291,17,11
1292,17,41
1293,17,25
1294,17,25
1295,17,25
1296,17,13
1297,17,59
1298,17,31
1299,17,141
1300,17,1195
1301,17,205
1302,17,60
1303,17,333
1304,17,46
1305,17,46
1306,17,21
1307,17,7
1308,17,70
1309,17,161
1310,17,27
1311,17,27
1312,17,27
1313,17,44
1314,17,44
1315,17,44
1316,17,730
1317,17,52
1318,17,52
1319,17,441
1320,17,19
1321,17,19
1322,17,19
1323,17,368
1324,17,35
1325,17,28
1326,17,28
1327,17,28
1328,17,1441
1329,17,630
1330,17,79
1331,17,956
1332,17,18
1333,17,16
1334,17,98
1335,17,14
1336,17,81
1337,17,350
1338,17,92
1339,17,156
1340,17,48
1341,17,48
1342,17,167
1343,17,93
1344,17,77
1345,17,49
1346,17,78
1347,17,32
1348,17,32
1349,17,285
1350,17,90
1351,17,38
1352,17,29
1353,17,582
1354,17,36
1355,17,39
1356,17,337
1357,17,23
1358,17,9
1359,17,1339
1360,17,104
1361,17,51
1362,17,8
1363,17,66
1364,17,10
1365,17,45
1366,17,114
1367,17,986
1368,18,723
1369,18,15
1370,18,15
1371,18,15
1372,18,13
1373,18,13
1374,18,13
1375,18,13
1376,18,13
1377,18,32
1378,18,32
1379,18,32
1380,18,32
1381,18,88
1382,18,26
1383,18,26
1384,18,26
1385,18,34
1386,18,34
1387,18,376
1388,18,24
1389,18,24
1390,18,24
1391,18,24
1392,18,24
1393,18,24
1394,18,24
1395,18,24
1396,18,24
1397,18,74
1398,18,23
1399,18,23
1400,18,23
1401,18,23
1402,18,102
1403,18,102
1404,18,16
1405,18,16
1406,18,16
1407,18,33
1408,18,33
1409,18,31
1410,18,31
1411,18,31
1412,18,31
1413,18,40
1414,18,40
1415,18,77
1416,18,636
1417,18,19
1418,18,19
1419,18,101
1420,18,1037
1421,18,42
1422,18,42
1423,18,975
1424,18,598
1425,18,30
1426,18,30
1427,18,742
1428,18,192
1429,18,113
1430,18,326
1431,18,99
1432,18,43
1433,18,734
1434,18,12
1435,18,22
1436,18,22
1437,18,22
1438,18,91
1439,18,64
1440,18,17
1441,18,17
1442,18,71
1443,18,21
1444,18,1220
1445,18,80
1446,18,48
1447,18,48
1448,18,186
1449,18,391
1450,18,578
1451,18,41
1452,18,41
1453,18,41
1454,18,52
1455,18,52
1456,18,54
1457,18,54
1458,18,27
1459,18,27
1460,18,69
1461,18,329
1462,18,173
1463,18,240
1464,18,323
1465,18,1385
1466,18,38
1467,18,7
1468,18,7
1469,18,7
1470,18,1093
1471,18,36
1472,18,70
1473,18,25
1474,18,79
1475,18,679
1476,18,35
1477,18,1257
1478,18,150
1479,18,6
1480,18,6
1481,18,29
1482,18,45
1483,18,11
1484,18,11
1485,18,72
1486,18,78
1487,18,63
1488,18,296
9690,18,296
1489,18,1043
1490,18,243
1491,18,716
1492,18,8
1493,18,8
1494,18,739
1495,18,65
1496,18,208
1497,18,197
1498,18,67
1499,18,67
1500,18,237
1501,18,370
1502,18,180
1503,18,138
1504,18,220
9686,18,1172
9687,18,686
9688,18,1032
9689,18,100
9691,18,232
9692,18,1086
9693,18,945
10183,18,916
10185,18,1314
10187,18,993
10189,18,394
10191,18,933
1505,19,14
1506,19,14
1507,19,246
1508,19,15
1509,19,15
1510,19,23
1511,19,448
1512,19,31
1513,19,31
1514,19,31
1515,19,33
1516,19,64
1517,19,21
1518,19,21
1519,19,21
1520,19,76
1521,19,1383
1522,19,50
1523,19,50
1524,19,239
1525,19,239
1526,19,495
1527,19,13
1528,19,13
1529,19,47
1530,19,379
1531,19,115
1532,19,55
1533,19,55
1534,19,17
1535,19,17
1536,19,17
1537,19,17
1538,19,43
1539,19,43
1540,19,43
1541,19,42
1542,19,42
1543,19,42
1544,19,20
1545,19,20
1546,19,957
1547,19,957
1548,19,29
1549,19,45
1550,19,45
1551,19,45
1552,19,61
1553,19,61
1554,19,10
1555,19,10
1556,19,10
1557,19,72
1558,19,1323
1559,19,103
1560,19,27
1561,19,27
1562,19,27
1563,19,121
1564,19,82
1565,19,82
1566,19,82
1567,19,44
1568,19,44
1569,19,228
1570,19,65
1571,19,58
1572,19,58
1573,19,4
1574,19,71
1575,19,727
1576,19,100
1577,19,11
1578,19,92
1579,19,295
1580,19,295
1581,19,12
1582,19,12
1583,19,128
1584,19,128
1585,19,24
1586,19,24
1587,19,34
1588,19,34
1589,19,35
1590,19,35
1591,19,35
1592,19,35
1593,19,35
1594,19,78
1595,19,775
1596,19,102
1597,19,56
1598,19,245
1599,19,974
1600,19,974
1601,19,46
1602,19,80
1603,19,119
1604,19,659
1605,19,309
1606,19,883
1607,19,322
1608,19,707
1609,19,16
1610,19,9
1611,19,457
1612,19,25
1613,19,25
1614,19,18
1615,19,18
1616,19,5
1617,19,164
1618,19,364
1619,19,26
1620,19,891
1621,19,187
1622,19,993
1623,19,194
1624,19,101
1625,19,117
1626,19,1033
1627,19,1184
1628,19,631
1629,19,7
1630,19,286
1631,19,113
1632,19,918
1633,19,672
1634,19,63
1635,19,370
1636,19,634
1637,19,958
1638,19,37
1639,19,344
1640,19,112
1641,19,32
1642,19,39
1643,19,99
1644,20,22
1645,20,22
1646,20,22
1647,20,22
1648,20,43
1649,20,43
1650,20,43
1651,20,71
1652,20,52
1653,20,10
1654,20,10
1655,20,10
1656,20,377
1657,20,40
1658,20,40
1659,20,50
1660,20,50
1661,20,41
1662,20,41
1663,20,41
1664,20,529
1665,20,38
1666,20,38
1667,20,38
1668,20,164
1669,20,17
1670,20,17
1671,20,14
1672,20,14
1673,20,14
1674,20,116
1675,20,18
1676,20,18
1677,20,18
1678,20,18
1679,20,18
1680,20,161
1681,20,131
1682,20,81
1683,20,649
1684,20,49
1685,20,49
1686,20,963
1687,20,1223
1688,20,56
1689,20,674
1690,20,54
1691,20,63
1692,20,63
1693,20,63
1694,20,51
1695,20,1226
1696,20,60
1697,20,1422
1698,20,1234
1699,20,16
1700,20,16
1701,20,46
1702,20,9
1703,20,9
1704,20,29
1705,20,23
1706,20,23
1707,20,653
1708,20,1324
1709,20,45
1710,20,229
1711,20,1187
1712,20,26
1713,20,26
1714,20,26
1715,20,94
1716,20,94
1717,20,35
1718,20,35
1719,20,968
1720,20,36
1721,20,48
1722,20,48
1723,20,294
1724,20,55
1725,20,15
1726,20,15
1727,20,15
1728,20,15
1729,20,15
1730,20,1031
1731,20,720
1732,20,82
1733,20,39
1734,20,39
1735,20,31
1736,20,394
1737,20,887
1738,20,77
1739,20,53
1740,20,188
1741,20,1258
1742,20,100
1743,20,28
1744,20,768
1745,20,47
1746,20,356
1747,20,19
1748,20,19
1749,20,11
1750,20,11
1751,20,11
1752,20,34
1753,20,27
1754,20,332
1755,20,8
1756,20,70
1757,20,98
1758,20,76
1759,20,1069
1760,20,21
1761,20,3
1762,20,33
1763,20,33
1764,20,243
1765,20,325
1766,20,112
1767,20,61
1768,20,13
1769,20,24
1770,20,24
1771,20,101
1772,20,66
1773,20,88
1774,20,686
1775,20,1067
1776,20,114
1777,20,160
1778,20,67
1779,20,57
1780,20,135
1781,20,7
1782,20,87
1783,20,334
1784,21,688
1785,21,102
1786,21,1425
1787,21,317
1788,21,60
1789,21,178
1790,21,178
1791,21,50
1792,21,58
1793,21,58
1794,21,58
1795,21,119
1796,21,56
1797,21,8
1798,21,42
1799,21,7
1800,21,7
1801,21,57
1802,21,72
1803,21,235
1804,21,571
1805,21,741
1806,21,307
1807,21,27
1808,21,27
1809,21,27
1810,21,27
1811,21,27
1812,21,24
1813,21,180
1814,21,30
1815,21,30
1816,21,30
1817,21,13
1818,21,13
1819,21,13
1820,21,4
1821,21,39
1822,21,19
1823,21,19
1824,21,19
1825,21,37
1826,21,37
1827,21,37
1828,21,59
1829,21,59
1830,21,14
1831,21,40
1832,21,22
1833,21,22
1834,21,152
1835,21,23
1836,21,23
1837,21,31
1838,21,31
1839,21,31
1840,21,15
1841,21,15
1842,21,15
1843,21,548
1844,21,313
1845,21,25
1846,21,350
1847,21,74
1848,21,196
1849,21,73
1850,21,267
1851,21,553
1852,21,163
1853,21,33
1854,21,373
1855,21,1047
1856,21,48
1857,21,28
1858,21,28
1859,21,28
1860,21,16
1861,21,45
1862,21,45
1863,21,32
1864,21,10
1865,21,55
1866,21,1197
1867,21,482
1868,21,691
1869,21,443
1870,21,52
1871,21,52
1872,21,35
1873,21,107
1874,21,107
1875,21,1228
1876,21,437
1877,21,637
1878,21,26
1879,21,26
1880,21,26
1881,21,475
1882,21,11
1883,21,17
1884,21,62
1885,21,44
1886,21,234
1887,21,1342
1888,21,739
1889,21,122
1890,21,49
1891,21,1410
1892,21,325
1893,21,34
1894,21,43
1895,21,464
1896,21,277
1897,21,997
1898,21,876
1899,21,447
1900,21,165
1901,21,127
1902,21,18
1903,21,678
1904,21,985
1905,21,488
9738,21,71
1906,22,127
1907,22,11
1908,22,372
1909,22,44
1910,22,35
1911,22,35
1912,22,5
1913,22,88
1914,22,93
1915,22,110
1916,22,51
1917,22,51
1918,22,51
1919,22,1094
1920,22,738
1921,22,213
1922,22,70
1923,22,295
1924,22,452
1925,22,249
1926,22,249
1927,22,27
1928,22,27
1929,22,17
1930,22,17
1931,22,17
1932,22,116
1933,22,34
1934,22,34
1935,22,315
1936,22,91
1937,22,46
1938,22,30
1939,22,54
1940,22,32
1941,22,32
1942,22,32
1943,22,32
1944,22,32
1945,22,92
1946,22,250
1947,22,102
1948,22,16
1949,22,16
1950,22,13
1951,22,24
1952,22,24
1953,22,293
1954,22,131
1955,22,1412
1956,22,12
1957,22,50
1958,22,1026
1959,22,21
1960,22,1400
1961,22,233
1962,22,48
1963,22,48
1964,22,72
1965,22,40
1966,22,45
1967,22,90
1968,22,39
1969,22,642
1970,22,37
1971,22,37
1972,22,37
1973,22,37
1974,22,55
1975,22,339
1976,22,998
1977,22,57
1978,22,75
1979,22,153
1980,22,29
1981,22,1038
1982,22,62
1983,22,762
1984,22,25
1985,22,25
1986,22,25
1987,22,971
1988,22,477
1989,22,1008
1990,22,1251
1991,22,41
1992,22,38
1993,22,47
1994,22,47
1995,22,158
1996,22,33
1997,22,73
1998,22,172
1999,22,95
2000,22,49
2001,22,1382
2002,22,442
2003,22,1240
2004,22,864
2005,22,572
2006,22,274
2007,22,231
2008,22,313
2009,22,36
2010,22,36
2011,22,28
2012,22,28
2013,22,28
2014,22,63
2015,22,81
2016,22,1235
2017,22,6
2018,22,76
2019,22,388
2020,22,182
2021,22,316
2022,22,71
2023,22,143
2024,22,18
2025,22,56
2026,22,8
2027,22,120
9678,22,0
9679,22,890
9680,22,748
9681,22,1328
9682,22,1201
9683,22,851
9684,22,696
9685,22,429
2028,23,44
2029,23,44
2030,23,29
2031,23,29
2032,23,59
2033,23,113
2034,23,36
2035,23,25
2036,23,15
2037,23,15
2038,23,117
2039,23,105
2040,23,105
2041,23,46
2042,23,7
2043,23,7
2044,23,1017
2045,23,32
2046,23,32
2047,23,27
2048,23,27
2049,23,27
2050,23,27
2051,23,14
2052,23,14
2053,23,14
2054,23,3
2055,23,3
2056,23,954
2057,23,175
2058,23,22
2059,23,22
2060,23,22
2061,23,22
2062,23,186
2063,23,18
2064,23,18
2065,23,301
2066,23,899
2067,23,41
2068,23,134
2069,23,53
2070,23,40
2071,23,40
2072,23,94
2073,23,52
2074,23,52
2075,23,42
2076,23,1173
2077,23,33
2078,23,38
2079,23,38
2080,23,38
2081,23,38
2082,23,38
2083,23,28
2084,23,28
2085,23,28
2086,23,366
2087,23,60
2088,23,11
2089,23,960
